IMPHY_ID,Phytochemical_Name,SMILES,RO5_Status
IMPHY006456,"magnesium;methyl (3R,21S,22S)-16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),5(26),8,10(25),11,13,15,17,19-decaene-3-carboxylate",COC(=O)[C@@H]1C2=c3c(C1=O)c(/c(=C/C1=[NH+]/C(=Cc4[n-]c(/C=C/5[NH+]=C2[C@@H](CCC(=O)OC/C=C(/CCC[C@H](CCC[C@@H](CCCC(C)C)C)C)C)[C@@H]5C)c(C)c4C=C)/C(=C1CC)C)/[n-]3)C.[Mg+2],Failed (2 violations)
IMPHY006486,Squalene,C/C(=CCC/C=C(/CC/C=C(/CCC=C(C)C)C)C)/CC/C=C(/CCC=C(C)C)C,Failed (1 violation)
IMPHY006942,Methylglyoxal,O=CC(=O)C,Passed
IMPHY007084,Vanillic acid,COc1cc(ccc1O)C(=O)O,Passed
IMPHY007138,Dehydrovomifoliol,CC(=O)/C=C/[C@@]1(O)C(=CC(=O)CC1(C)C)C,Passed
IMPHY007357,Nicotinic acid,OC(=O)c1cccnc1,Passed
IMPHY008165,Ovalitenone,COc1c(ccc2c1cco2)C(=O)CC(=O)c1ccc2c(c1)OCO2,Passed
IMPHY008910,Hentriacontane,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,Failed (1 violation)
IMPHY008945,Cyanidin,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O,Passed
IMPHY009513,Tridecanoic acid,CCCCCCCCCCCCC(=O)O,Passed
IMPHY010083,4-Hydroxybenzoic acid,Oc1ccc(cc1)C(=O)O,Passed
IMPHY010556,Scopoline,CN1C2CC3CC1C(C2O)O3,Passed
IMPHY011207,L-Glc(?1-4)Glc(a1-4)Glc,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1OC1O[C@@H](CO)[C@@H]([C@H]([C@@H]1O)O)O)O)O,Failed (3 violations)
IMPHY011286,6-O-alpha-D-glucopyranosyl-beta-D-glucopyranose,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,Failed (2 violations)
IMPHY011513,Isosinensetin,COc1cc(ccc1OC)c1cc(=O)c2c(o1)c(OC)c(cc2OC)OC,Passed
IMPHY011608,Gingerol,CCCCC[C@@H](CC(=O)CCc1ccc(c(c1)OC)O)O,Passed
IMPHY011613,Fucosterol,C/C=C(C(C)C)/CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Failed (1 violation)
IMPHY012029,Sterol,OC1CCC2C(C1)CCC1C2CCC2C1CCC2,Passed
IMPHY012050,D-Galactose,OC[C@H]1OC(O)[C@@H]([C@H]([C@H]1O)O)O,Passed
IMPHY012053,Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,Failed (2 violations)
IMPHY012160,alpha-Terpineol,CC1=CCC(CC1)C(O)(C)C,Passed
IMPHY012320,Raffinose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O,Failed (3 violations)
IMPHY012402,Campesterol,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CC[C@H](C(C)C)C)C)C)C1)C,Failed (1 violation)
IMPHY012464,Clionasterol,CC[C@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Failed (1 violation)
IMPHY012712,Phytol,OC/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C,Failed (1 violation)
IMPHY012761,Gadoleic acid,CCCCCCCCCC/C=CCCCCCCCC(=O)O,Failed (1 violation)
IMPHY013247,Stigmasteryl ferulate,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)OC(=O)/C=C/c1ccc(c(c1)OC)O)C,Failed (2 violations)
IMPHY013350,Oryzanol,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34[C@H](C2(C)C)CC[C@@]2([C@@]4(C3)CC[C@]3(C2CC[C@@H]3[C@@H](CCC(=C)C(C)C)C)C)C)ccc1O,Failed (2 violations)
IMPHY014836,beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Failed (1 violation)
IMPHY014842,Stigmasterol,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Failed (1 violation)
IMPHY014893,D-Glucose,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,Passed
IMPHY014916,D-Fructose,OCC1(O)OC[C@H]([C@H]([C@@H]1O)O)O,Passed
IMPHY015116,D-Xylose,O[C@@H]1COC([C@@H]([C@H]1O)O)O,Passed
